transaction_id,customer_external_id,transaction_date,product_sku,product_name,category,quantity,unit_price,total_amount
TXN-000,CUS-1001,2025-07-01,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-001,CUS-1001,2025-08-03,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-002,CUS-1001,2025-09-03,PRD-002,Cloud Workspace,Software,2,12000,24000
TXN-003,CUS-1001,2025-10-04,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-004,CUS-1001,2025-11-05,PRD-002,Cloud Workspace,Software,2,12000,24000
TXN-005,CUS-1001,2025-12-07,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-006,CUS-1001,2026-01-11,PRD-002,Cloud Workspace,Software,2,12000,24000
TXN-007,CUS-1001,2026-02-20,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-008,CUS-1001,2026-03-28,PRD-002,Cloud Workspace,Software,1,12000,12000
TXN-009,CUS-1001,2026-05-03,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-010,CUS-1002,2025-08-12,PRD-006,Team Workspace,Software,1,7200,7200
TXN-011,CUS-1002,2025-10-12,PRD-006,Team Workspace,Software,1,7200,7200
TXN-012,CUS-1002,2025-12-12,PRD-006,Team Workspace,Software,2,7200,14400
TXN-013,CUS-1002,2026-02-12,PRD-006,Team Workspace,Software,2,7200,14400
TXN-014,CUS-1002,2026-04-12,PRD-006,Team Workspace,Software,2,7200,14400
TXN-015,CUS-1002,2026-07-02,PRD-006,Team Workspace,Software,3,7200,21600
TXN-016,CUS-1003,2025-08-17,PRD-004,Retail Essentials,Software,3,9600,28800
TXN-017,CUS-1003,2025-10-18,PRD-004,Retail Essentials,Software,3,9600,28800
TXN-018,CUS-1003,2025-12-20,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-019,CUS-1003,2026-02-21,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-020,CUS-1003,2026-05-27,PRD-004,Retail Essentials,Software,1,9600,9600
TXN-021,CUS-1004,2025-08-01,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-022,CUS-1004,2025-10-01,PRD-003,Analytics Suite,Analytics,1,18000,18000
TXN-023,CUS-1004,2025-12-01,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-024,CUS-1004,2026-02-01,PRD-003,Analytics Suite,Analytics,1,18000,18000
TXN-025,CUS-1004,2026-04-01,PRD-001,Enterprise Support,Service,1,24000,24000
TXN-026,CUS-1004,2026-06-28,PRD-003,Analytics Suite,Analytics,2,18000,36000
TXN-027,CUS-1005,2025-09-05,PRD-004,Retail Essentials,Software,1,9600,9600
TXN-028,CUS-1006,2025-10-06,PRD-006,Team Workspace,Software,1,7200,7200
TXN-029,CUS-1007,2025-11-07,PRD-002,Cloud Workspace,Software,1,12000,12000
TXN-030,CUS-1008,2025-12-08,PRD-003,Analytics Suite,Analytics,1,18000,18000
TXN-031,CUS-1009,2026-01-09,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-032,CUS-1010,2026-02-10,PRD-006,Team Workspace,Software,2,7200,14400
TXN-033,CUS-1011,2026-03-11,PRD-002,Cloud Workspace,Software,1,12000,12000
TXN-034,CUS-1012,2026-04-12,PRD-003,Analytics Suite,Analytics,1,18000,18000
TXN-035,CUS-1013,2026-05-13,PRD-004,Retail Essentials,Software,1,9600,9600
TXN-036,CUS-1014,2026-06-14,PRD-006,Team Workspace,Software,1,7200,7200
TXN-C501,CUS-1005,2025-10-01,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C502,CUS-1005,2026-06-01,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C601,CUS-1006,2025-10-02,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C602,CUS-1006,2026-06-02,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C701,CUS-1007,2025-10-03,PRD-004,Retail Essentials,Software,3,9600,28800
TXN-C702,CUS-1007,2026-06-03,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C801,CUS-1008,2025-10-04,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C802,CUS-1008,2026-06-04,PRD-004,Retail Essentials,Software,1,9600,9600
TXN-C901,CUS-1009,2025-10-05,PRD-004,Retail Essentials,Software,3,9600,28800
TXN-C902,CUS-1009,2026-06-05,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C1001,CUS-1010,2025-10-06,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C1002,CUS-1010,2026-06-06,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C1101,CUS-1011,2025-10-07,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C1102,CUS-1011,2026-06-07,PRD-004,Retail Essentials,Software,1,9600,9600
TXN-C1201,CUS-1012,2025-10-08,PRD-004,Retail Essentials,Software,3,9600,28800
TXN-C1202,CUS-1012,2026-06-08,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C1301,CUS-1013,2025-10-09,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C1302,CUS-1013,2026-06-09,PRD-004,Retail Essentials,Software,2,9600,19200
TXN-C1401,CUS-1014,2025-10-10,PRD-004,Retail Essentials,Software,3,9600,28800
TXN-C1402,CUS-1014,2026-06-10,PRD-004,Retail Essentials,Software,1,9600,9600
TXN-C1501,CUS-1015,2025-10-11,PRD-004,Retail Essentials,Software,4,9600,38400
TXN-C1502,CUS-1015,2026-06-11,PRD-004,Retail Essentials,Software,2,9600,19200
